"Avg_mode_power","Star Rating Index"
182.3,"4.042599711063555"
182.3,"4.042599711063555"
182.3,"4.042599711063555"
182.3,"4.042599711063555"
182.3,"4.042599711063555"
182.3,"4.042599711063555"
15.8694,"5.065515602883841"
22.3,"5.121853047308811"
22.3,"5.121853047308811"
22.3,"5.121853047308811"
22.3,"5.121853047308811"
22.3,"5.121853047308811"
22.3,"5.121853047308811"
59.7,"6.1612671006942135"
74.3,"5.2888840563711685"
108.5,"5.252227905908116"
165.5,"4.632024320830119"
139.5,"2.569989333843333"
175.3,"3.008043456197783"
281,"2.2560386921709505"
59.7,"6.1612671006942135"
155,"4.10413687487484"
155,"4.10413687487484"
155,"4.10413687487484"
107.4,"6.37351524694427"
142,"3.1089873384835816"
142,"3.1089873384835816"
142,"3.1089873384835816"
72,"5.32726460078863"
95,"4.90694300128694"
113,"4.127319622245539"
156,"4.080617066836194"
15.85,"6.309656677494295"
77,"4.67338811583935"
16.1569,"5.356171502503779"
96,"4.842211692706378"
125,"5.055649922970425"
95,"4.880351668599854"
121,"5.1941595831467815"
107,"4.351098007717853"
133,"4.772518722227953"
187,"4.728380984251501"
51,"5.016571587863471"
65,"4.549090282769516"
138,"4.62589592565582"
83,"5.504033537069173"
102.1,"4.0277565992665405"
116.25,"4.9702952941602625"
116.25,"4.9702952941602625"
81.32,"4.357808286657745"
81.32,"4.357808286657745"
114.36,"6.008562665563702"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
29.57,"5.600491790512466"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.18,"6.528056286326917"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
35.97,"7.035028893387631"
188.97,"4.452167843042404"
76.044,"4.506588374804526"
31.814,"5.03098766900437"
126,"4.0632890123612855"
59.47,"5.519365722220251"
